"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"===VREFBUFFER===?,U1,U2,U3,U4,U5,U6","7","","","","","","https://ngspice.sourceforge.io/docs/ngspice-html-manual/manual.xhtml#sec__SUBCKT_Subcircuits"
"C1","1","1µF","","","","",""
"C2,Cdecoupling?,Cdecoupling?,Cdecoupling?,Cdecoupling?,Cdecoupling?,Cdecoupling?","7","100nF","","","","",""
"Cdecoupling?","1","10nF","","","","",""
"D1","1","BAT54S","","","","Package_TO_SOT_SMD:SOT-23","https://www.diodes.com/assets/Datasheets/ds11005.pdf"
"R1,R4,Rg?,Rg?","4","100kΩ","","","","",""
"R2","1","10MΩ","","","","",""
"R3","1","1MΩ","","","","",""
"R5,R7,R10","3","10kΩ","","","","",""
"R6","1","330kΩ","","","","",""
"R8","1","91kΩ","","","","",""
"R9","1","39kΩ","","","","",""
"r?","1","22kΩ","","","","",""
"Rf?,Rf?","2","59kΩ","","","","",""
"U7","1","NUCLEO144-F446ZE","","","","Module:ST_Morpho_Connector_144_STLink","https://www.st.com/resource/en/user_manual/dm00244518-stm32-nucleo144-boards-stmicroelectronics.pdf"
